KOname	ko
dppE; dipeptide transport system substrate-binding protein	K16199
dppF; dipeptide transport system ATP-binding protein	K12372
dprE1; decaprenylphospho-beta-D-ribofuranose 2-oxidase	K16653
dprE2; decaprenylphospho-beta-D-erythro-pentofuranosid-2-ulose 2-reductase	K16652
DPRX; divergent paired-related homeobox	K24894
dps; starvation-inducible DNA-binding protein	K04047
DPT; diptericin	K20669
dptF; DNA phosphorothioation-dependent restriction protein DptF	K19173
dptG; DNA phosphorothioation-dependent restriction protein DptG	K19174
dptH; DNA phosphorothioation-dependent restriction protein DptH	K19175
DPY19L; C-mannosyltransferase DPY19L	K24553
DPY30; protein dpy-30	K14965
DPYD; dihydropyrimidine dehydrogenase (NADP+)	K00207
DPYS, dht, hydA; dihydropyrimidinase	K01464
DPYSL2, CRMP2; dihydropyrimidinase-like 2	K07528
DPYSL5, CRAM; dihydropyrimidinase-like 5	K07529
DQX1; ATP-dependent RNA helicase DQX1	K14433
DR1, NC2-beta; down-regulator of transcription 1	K21751
draG; ADP-ribosyl-[dinitrogen reductase] hydrolase	K05521
DRAM1; DNA damage-regulated autophagy modulator protein 1	K21955
DRAM2; DNA damage-regulated autophagy modulator protein 2	K21956
DRAP1, NC2-alpha; Dr1-associated corepressor	K21752
draT; NAD+---dinitrogen-reductase ADP-D-ribosyltransferase	K05951
DRC1; dynein regulatry complex protein 1	K19754
DRD1; dopamine receptor D1	K04144
DRD1N; dopamine receptor D1-like	K04148
DRD2; dopamine receptor D2	K04145
DRD3; dopamine receptor D3	K04146
DRD4; dopamine receptor D4	K04147
DRD5; dopamine receptor D5	K05840
DRGX, PRRXL1; dorsal root ganglia homeobox protein	K24895
DRIP; E3 ubiquitin-protein ligase DRIP	K16277
DRM; drumstick	K22535
DRONC; caspase Dronc	K20009
drp35; lactonase	K02352
DRPLA; atrophin-1 (dentatorubral-pallidoluysian atrophy protein)	K05626
drrA; daunorubicin/doxorubicin transport system ATP-binding protein	K25141
drrB; daunorubicin/doxorubicin transport system permease protein	K25140
DRS2, ATP8A; phospholipid-transporting ATPase	K14802
DRS; drosomycin	K20670
dsbA; protein dithiol oxidoreductase (disulfide-forming)	K03673
dsbB; protein dithiol:quinone oxidoreductase	K03611
dsbC; thiol:disulfide interchange protein DsbC	K03981
dsbD, dipZ; thioredoxin:protein disulfide reductase	K04084
dsbG; thiol:disulfide interchange protein DsbG	K03805
DSC1; desmocollin 1	K07600
DSC1, NaCP60E; voltage-gated cation channel	K21862
DSC2; desmocollin 2	K07601
DSC3; desmocollin 3	K07602
DSCAM; Down syndrome cell adhesion molecule	K06767
DSCAML1; Down syndrome cell adhesion molecule-like protein 1	K06768
DSCC1, DCC1; sister chromatid cohesion protein DCC1	K11271
DSD1; D-serine ammonia-lyase	K20498
dsdA; D-serine dehydratase	K01753
dsdC; LysR family transcriptional regulator, D-serine deaminase activator	K13636
dsdX; D-serine transporter	K13629
DSE1, ALT2, EMB2757; protein decreased size exclusion limit 1	K24770
DSE; chondroitin-glucuronate 5-epimerase	K01794
DSG1; desmoglein 1	K07596
DSG2; desmoglein 2	K07597
DSG3; desmoglein 3	K07598
DSG4; desmoglein 4	K07599
DSN1; kinetochore-associated protein DSN1	K11544
DSP; desmoplakin	K10381
DSPP; dentin sialophosphoprotein	K23573
dsrA; dissimilatory sulfite reductase alpha subunit	K11180
dsrA; small regulatory RNA DsrA	K18502
dsrB; dissimilatory sulfite reductase beta subunit	K11181
dsrC; dissimilatory sulfite reductase related protein	K23077
DSS1, MSU1; exoribonuclease II, mitochondrial	K19782
DST; dystonin	K10382
DSTN; destrin	K10363
DSTYK, RIPK5; dual serine/threonine and tyrosine protein kinase	K16288
dsyB; 2-hydroxy-4-(methylsulfanyl)butanoate S-methyltransferase	K24666
dszA; dibenzothiophene sulfone monooxygenase	K22220
dszB; 2'-hydroxybiphenyl-2-sulfinate desulfinase	K05977
dszC; dibenzothiophene monooxygenase	K22219
dta; D-threonine aldolase	K19967
dtcycA; cembrene C/nephthenol synthase	K20504
dtcycB; nephthenol/cembrene A/pentamethylcyclopentadecatrienol synthase	K20505
dtdA, GEK1; D-aminoacyl-tRNA deacylase	K09716
dtd, DTD; D-aminoacyl-tRNA deacylase	K07560
dthadh; threo-3-hydroxy-D-aspartate ammonia-lyase	K20757
dthD; D-threitol dehydrogenase (NAD+)	K20900
DTL, CDT2, DCAF2; denticleless	K11790
DTNBP1, BLOC1S8; dysbindin	K20189
dtnK, denK; D-threonate/D-erythronate kinase	K22129
DTPA; ditryptophenaline biosynthesis nonribosomal peptide synthase	K23646
DTPB; ditryptophenaline biosynthesis N-methyltransferase	K23647
DTPC; ditryptophenaline biosynthesis cytochrome P450 monooxygenase	K21477
DTWD1; tRNA-uridine aminocarboxypropyltransferase	K25070
DTWD2, tapT; tRNA-uridine aminocarboxypropyltransferase	K05812
DTX; deltex	K06058
DUG1; Cys-Gly metallodipeptidase DUG1	K15428
DUG2; di- and tripeptidase	K14262
DUG3; glutamine amidotransferase	K18802
DUO1; DASH complex subunit DUO1	K11570
DUOXA1; dual oxidase maturation factor 1	K17233
DUOXA2; dual oxidase maturation factor 2	K17232
DUOX, THOX; dual oxidase	K13411
DUR1; urea carboxylase / allophanate hydrolase	K14541
DUR3; urea-proton symporter	K20989
DUS1; tRNA-dihydrouridine synthase 1	K05542
DUS2; tRNA-dihydrouridine synthase 2	K05543
DUS3; tRNA-dihydrouridine synthase 3	K05544
DUS4; tRNA-dihydrouridine synthase 4	K05545
dusA; tRNA-dihydrouridine synthase A	K05539
dusB; tRNA-dihydrouridine synthase B	K05540
dusC; tRNA-dihydrouridine synthase C	K05541
DUSP10; dual specificity phosphatase 10	K20216
DUSP12, YVH1; dual specificity phosphatase 12	K14819
DUSP1; dual specificity protein phosphatase 1	K21278
DUSP3, VHR; dual specificity phosphatase 3	K17614
DUSP6; dual specificity phosphatase 6	K21946
DUSP9, MKP4; dual specificity phosphatase 9	K18498
DUSP, MKP; dual specificity MAP kinase phosphatase	K04459
dut, DUT; dUTP pyrophosphatase	K01520
DUX; double homeobox protein	K24896
DVE1; homeobox domain-containing protein	K19774
DVL; segment polarity protein dishevelled	K02353
DVR; divinyl chlorophyllide a 8-vinyl-reductase	K19073
DWARF27; beta-carotene isomerase	K17911
DXMT; caffeine synthase	K12731
dxnA1; dibenzofuran dioxygenase subunit alpha	K22715
dxnA2; dibenzofuran dioxygenase subunit beta	K22716
dxnB; 2-hydroxy-6-oxo-6-(2-hydroxyphenoxy)-hexa-2,4-dienoate hydrolase	K22717
dxr; 1-deoxy-D-xylulose-5-phosphate reductoisomerase	K00099
dxs; 1-deoxy-D-xylulose-5-phosphate synthase	K01662
DYM; dymeclin	K23951
DYNC1H; dynein heavy chain 1, cytosolic	K10413
DYNC1I, DNCI; dynein intermediate chain, cytosolic	K10415
DYNC1LI, DNCLI; dynein light intermediate chain 1, cytosolic	K10416
DYNC2H, DNCH2; dynein heavy chain 2, cytosolic	K10414
DYNC2LI; dynein light intermediate chain 2, cytosolic	K10417
DYNLL; dynein light chain LC8-type	K10418
DYNLRB, DNCL2; dynein light chain roadblock-type	K10419
DYNLT; dynein light chain Tctex-type 1	K10420
DYRK1; dual specificity tyrosine-phosphorylation-regulated kinase 1	K08825
DYRK2_3_4; dual specificity tyrosine-phosphorylation-regulated kinase 2/3/4	K18669
DYSF; dysferlin	K18261
DYX1C1, DNAAF4; dyslexia susceptibility 1 candidate gene 1 protein	K19758
DZIP1; zinc finger protein DZIP1	K16470
DZIP3; E3 ubiquitin-protein ligase DZIP3	K10642
E1.10.3.1; polyphenol oxidase	K00422
E1.10.3.2; laccase	K05909
E1.10.3.3; L-ascorbate oxidase	K00423
E1.11.1.11; L-ascorbate peroxidase	K00434
E1.11.1.19; dye decolorizing peroxidase	K15733
E1.1.1.122; D-threo-aldose 1-dehydrogenase	K00064
E1.1.1.137; ribulose-5-phosphate 2-dehydrogenase	K21680
E1.1.1.149; 20alpha-hydroxysteroid dehydrogenase	K05295
E1.11.1.5; cytochrome c peroxidase	K00428
E1.11.1.7; peroxidase	K00430
E1.1.1.1, adh; alcohol dehydrogenase	K00001
E1.1.1.200; aldose-6-phosphate reductase (NADPH2)	K00085
E1.1.1.201; 7beta-hydroxysteroid dehydrogenase (NADP+)	K23231
E1.1.1.207; (-)-menthol dehydrogenase	K15094
E1.1.1.208; (+)-neomenthol dehydrogenase	K15095
E1.1.1.219; dihydroflavonol-4-reductase	K00091
E1.1.1.223; isopiperitenol dehydrogenase	K15090
E1.1.1.243; (-)-trans-carveol dehydrogenase	K14730
E1.1.1.251, gatD; galactitol-1-phosphate 5-dehydrogenase	K00094
E1.1.1.275; (+)-trans-carveol dehydrogenase	K12466
E1.1.1.306; S-(hydroxymethyl)mycothiol dehydrogenase	K00153
E1.1.1.30, bdh; 3-hydroxybutyrate dehydrogenase	K00019
E1.1.1.366; L-idonate 5-dehydrogenase	K19635
E1.1.1.374; UDP-N-acetylglucosamine 3-dehydrogenase	K18855
E1.1.1.387; L-serine 3-dehydrogenase (NAD+)	K19711
E1.1.1.391; 3beta-hydroxycholanate 3-dehydrogenase (NAD+)	K22606
E1.1.1.393; 3beta-hydroxycholanate 3-dehydrogenase (NADP+)	K22607
E1.1.1.39; malate dehydrogenase (decarboxylating)	K00028
E1.1.1.40, maeB; malate dehydrogenase (oxaloacetate-decarboxylating)(NADP+)	K00029
E1.1.1.425; levoglucosan dehydrogenase	K24995
E1.1.1.43; phosphogluconate 2-dehydrogenase	K00032
E1.1.1.51; 3(or 17)beta-hydroxysteroid dehydrogenase	K05296
E1.1.1.52; 3alpha-hydroxycholanate dehydrogenase (NAD+)	K22604
E1.1.1.53; 3alpha(or 20beta)-hydroxysteroid dehydrogenase	K00038
E1.1.1.65; pyridoxine 4-dehydrogenase	K05275
E1.1.1.67, mtlK; mannitol 2-dehydrogenase	K00045
E1.1.1.82; malate dehydrogenase (NADP+)	K00051
E1.1.1.90; aryl-alcohol dehydrogenase	K00055
E1.1.1.91; aryl-alcohol dehydrogenase (NADP+)	K05882
E1.1.1.9; D-xylulose reductase	K05351
E1.12.7.2; ferredoxin hydrogenase	K00532
E1.12.7.2G; ferredoxin hydrogenase gamma subunit	K06441
E1.12.7.2L; ferredoxin hydrogenase large subunit	K00533
E1.12.7.2S; ferredoxin hydrogenase small subunit	K00534
E1.13.11.45; linoleate 11-lipoxygenase	K21794
E1.13.11.4; gentisate 1,2-dioxygenase	K00450
E1.13.11.82; 8'-apo-carotenoid 13,14-cleaving dioxygenase	K21822
E1.13.12.13; oplophorus-luciferin 2-monooxygenase catalytic subunit	K21823
E1.13.12.18; dinoflagellate luciferase	K22500
E1.13.12.4; lactate 2-monooxygenase	K00467
E1.13.12.7; photinus-luciferin 4-monooxygenase (ATP-hydrolysing)	K05914
E1.1.3.21; alpha-glycerophosphate oxidase	K00105
E1.14.11.57; L-proline 4-hydroxylase	K21615
E1.14.13.147; taxoid 7beta-hydroxylase	K21720
E1.14.13.1; salicylate hydroxylase	K00480
E1.14.13.219; resorcinol 4-hydroxylase (NADPH)	K20943
E1.14.13.40; anthraniloyl-CoA monooxygenase	K09461
E1.14.13.7; phenol 2-monooxygenase (NADPH)	K03380
E1.14.13.81, acsF, chlE; magnesium-protoporphyrin IX monomethyl ester (oxidative) cyclase	K04035
E1.14.14.143; (+)-menthofuran synthase	K15093
E1.14.14.176; taxadiene 5alpha-hydroxylase	K14039
E1.14.14.52; (S)-limonene 7-monooxygenase	K07382
E1.14.17.4; aminocyclopropanecarboxylate oxidase	K05933
E1.14.19.10; icosanoyl-CoA 5-desaturase	K21705
E1.14.19.39; acyl-lipid delta12-acetylenase	K08262
E1.14.19.3; linoleoyl-CoA desaturase	K00508
E1.14.99.54; lytic cellulose monooxygenase (C1-hydroxylating)	K19356
E1.14.99.55; lytic starch monooxygenase	K00516
E1.16.1.7; ferric-chelate reductase	K00521
E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain	K00525
E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain	K00526
E1.1.99.21; D-sorbitol dehydrogenase (acceptor)	K08261
E1.1.99.36; alcohol dehydrogenase (nicotinoprotein)	K00119
E1.1.99.3A; gluconate 2-dehydrogenase alpha chain	K06151
E1.1.99.3G; gluconate 2-dehydrogenase gamma chain	K06152
E1.2.1.100; 5-formyl-3-hydroxy-2-methylpyridine 4-carboxylic acid 5-dehydrogenase	K18612
E1.2.1.10; acetaldehyde dehydrogenase (acetylating)	K00132
E1.2.1.22; lactaldehyde dehydrogenase	K19266
E1.2.1.68; coniferyl-aldehyde dehydrogenase	K00154
E1.2.1.88; 1-pyrroline-5-carboxylate dehydrogenase	K00294
E1.2.3.3, poxL; pyruvate oxidase	K00158
E1.2.7.8; indolepyruvate ferredoxin oxidoreductase	K04090
E1.3.1.32; maleylacetate reductase	K00217
E1.3.1.62; pimeloyl-CoA dehydrogenase	K04118
E1.3.1.74; 2-alkenal reductase	K08070
E1.3.1.81; (+)-pulegone reductase	K15092
E1.3.1.82; (-)-isopiperitenone reductase	K15091
E1.3.3.5; bilirubin oxidase	K08100
E1.3.3.6, ACOX1, ACOX3; acyl-CoA oxidase	K00232
E1.3.8.10; cyclohex-1-ene-1-carbonyl-CoA dehydrogenase	K19066
E1.3.8.11; cyclohexane-1-carbonyl-CoA dehydrogenase	K19067
E1.4.1.4, gdhA; glutamate dehydrogenase (NADP+)	K00262
E1.4.1.9; leucine dehydrogenase	K00263
E1.4.3.25; L-arginine oxidase	K21639
E1.5.1.20; methylenetetrahydrofolate reductase	K25009
E1.5.1.45; FAD reductase	K16902
E1.5.3.1; sarcosine oxidase	K00301
E1.6.2.2; cytochrome-b5 reductase	K00326
E1.6.5.4; monodehydroascorbate reductase (NADH)	K08232
E1.6.5.7; 2-hydroxy-1,4-benzoquinone reductase	K23529
E1.6.5.9; NADH:quinone reductase (non-electrogenic)	K23948
E1.6.99.1; NADPH2 dehydrogenase	K00354
E1.7.1.7, guaC; GMP reductase	K00364
E1.8.1.13; bis-gamma-glutamylcystine reductase	K03423
E1; HCV envelope glycoprotein E1	K24861
E1; HPV replication protein E1	K21810
E1; Rubivirus spike glycoprotein E1	K25128
E2.1.1.103, NMT; phosphoethanolamine N-methyltransferase	K05929
E2.1.1.104; caffeoyl-CoA O-methyltransferase	K00588
E2.1.1.111; anthranilate N-methyltransferase	K12643
E2.1.1.113; site-specific DNA-methyltransferase (cytosine-N4-specific)	K00590
E2.1.1.116; 3'-hydroxy-N-methyl-(S)-coclaurine 4'-O-methyltransferase	K13386
E2.1.1.118; columbamine O-methyltransferase	K13398
E2.1.1.122; (S)-tetrahydroprotoberberine N-methyltransferase	K13396
E2.1.1.128; (RS)-norcoclaurine 6-O-methyltransferase	K13383
E2.1.1.12; methionine S-methyltransferase	K08247
E2.1.1.141; jasmonate O-methyltransferase	K08241
E2.1.1.143; 24-methylenesterol C-methyltransferase	K08242
E2.1.1.22; carnosine N-methyltransferase	K22437
E2.1.1.300; pavine N-methyltransferase	K21458
E2.1.1.317; sphingolipid C9-methyltransferase	K20238
E2.1.1.347; (+)-O-methylkolavelool synthase	K22577
E2.1.1.72; site-specific DNA-methyltransferase (adenine-specific)	K00571
E2.1.1.76; flavonol 3-O-methyltransferase	K05279
E2.1.1.77, pcm; protein-L-isoaspartate(D-aspartate) O-methyltransferase	K00573
E2.1.1.95; tocopherol O-methyltransferase	K05928
E2.1.2.2; phosphoribosylglycinamide formyltransferase	K00601
E2.1.3.1-12S; methylmalonyl-CoA carboxyltransferase 12S subunit	K17489
E2.1.3.1-1.3S; methylmalonyl-CoA carboxyltransferase 1.3S subunit	K17490
E2.1.3.1-5S; methylmalonyl-CoA carboxyltransferase 5S subunit	K03416
E2.2.1.1, tktA, tktB; transketolase	K00615
E2.2.1.2, talA, talB; transaldolase	K00616
E2.2.1.6L, ilvB, ilvG, ilvI; acetolactate synthase I/II/III large subunit	K01652
E2.2.1.6S, ilvH, ilvN; acetolactate synthase I/III small subunit	K01653
E2.2.1.8; fluorothreonine transaldolase	K18847
E2.3.1.133, HCT; shikimate O-hydroxycinnamoyltransferase	K13065
E2.3.1.158; phospholipid:diacylglycerol acyltransferase	K00679
E2.3.1.159; acridone synthase	K12644
E2.3.1.160; vinorine synthase	K12694
E2.3.1.207; beta-ketodecanoyl-[acyl-carrier-protein] synthase	K16872
E2.3.1.37, ALAS; 5-aminolevulinate synthase	K00643
E2.3.1.54, pflD; formate C-acetyltransferase	K00656
E2.3.1.7; carnitine O-acetyltransferase	K00624
E2.3.1.8, pta; phosphate acetyltransferase	K00625
E2.3.2.15; glutathione gamma-glutamylcysteinyltransferase	K05941
E2.3.2.21; cyclo(L-tyrosyl-L-tyrosyl) synthase	K17484
E2.3.3.10; hydroxymethylglutaryl-CoA synthase	K01641
E2.3.3.3; citrate (Re)-synthase	K05942
E2.4.1.14; sucrose-phosphate synthase	K00696
E2.4.1.173; sterol 3beta-glucosyltransferase	K05841
E2.4.1.183; alpha-1,3-glucan synthase	K00749
E2.4.1.207; xyloglucan:xyloglucosyl transferase	K08235
E2.4.1.20; cellobiose phosphorylase	K00702
E2.4.1.210; limonoid glucosyltransferase	K08236
E2.4.1.213; glucosylglycerol-phosphate synthase	K03692
E2.4.1.214; glycoprotein 3-alpha-L-fucosyltransferase	K00753
E2.4.1.216; trehalose 6-phosphate phosphorylase	K03731
E2.4.1.217; mannosyl-3-phosphoglycerate synthase	K05947
E2.4.1.218; hydroquinone glucosyltransferase	K08237
E2.4.1.234; kaempferol 3-O-beta-D-galactosyltransferase	K13269
E2.4.1.248; cycloisomaltooligosaccharide glucanotransferase	K21353
E2.4.1.279; nigerose phosphorylase	K18783
E2.4.1.282; 3-O-alpha-D-glucosyl-L-rhamnose phosphorylase	K18784
E2.4.1.286; chalcone 4'-O-glucosyltransferase	K21372
E2.4.1.321; cellobionic acid phosphorylase	K18786
E2.4.1.329; sucrose 6(F)-phosphate phosphorylase	K21350
E2.4.1.333; 1,2-beta-oligoglucan phosphorylase	K21298
E2.4.1.34; 1,3-beta-glucan synthase	K00706
E2.4.1.352; glucosylglycerate phosphorylase	K22597
E2.4.1.359; glucosylglycerol phosphorylase (configuration-retaining)	K23079
E2.4.1.361; GDP-mannose:di-myo-inositol-1,3'-phosphate beta-1,2-mannosyltransferase	K23395
E2.4.1.373; alpha-(1->2) branching sucrase	K23981
E2.4.1.4; amylosucrase	K05341
E2.4.1.5; dextransucrase	K00689
E2.4.1.67; stachyose synthetase	K06611
E2.4.1.7; sucrose phosphorylase	K00690
E2.4.1.82; raffinose synthase	K06617
E2.4.1.91; flavonol 3-O-glucosyltransferase	K10757
E2.4.2.21, cobU, cobT; nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase	K00768
E2.4.2.24; 1,4-beta-D-xylan synthase	K00770
E2.4.2.27; dTDP-dihydrostreptose-streptidine-6-phosphate dihydrostreptosyltransferase	K04341
E2.4.2.6; nucleoside deoxyribosyltransferase	K08728
E2.5.1.132; 3-deoxy-D-glycero-D-galacto-nononate 9-phosphate synthase	K21279
E2.5.1.153; adenosine tuberculosinyltransferase	K15911
E2.5.1.2; thiamine pyridinylase	K10811
E2.5.1.41; phosphoglycerol geranylgeranyltransferase	K17104
E2.5.1.42; geranylgeranylglycerol-phosphate geranylgeranyltransferase	K17105
E2.5.1.43; nicotianamine synthase	K05953
E2.5.1.54, aroF, aroG, aroH; 3-deoxy-7-phosphoheptulonate synthase	K01626
E2.5.1.68; short-chain Z-isoprenyl diphosphate synthase	K12503
E2.5.1.86; trans,polycis-decaprenyl diphosphate synthase	K14215
E2.5.1.88; trans,polycis-polyprenyl diphosphate synthase	K21273
E2.6.1.11, argD; acetylornithine aminotransferase	K00818
E2.6.1.14; asparagine---oxo-acid transaminase	K22457
E2.6.1.18; beta-alanine--pyruvate transaminase	K00822
E2.6.1.42, ilvE; branched-chain amino acid aminotransferase	K00826
E2.6.1.83; LL-diaminopimelate aminotransferase	K10206
E2.7.10.1; receptor protein-tyrosine kinase	K08252
E2.7.10.2; non-specific protein-tyrosine kinase	K08253
E2.7.1.105, PFK; 6-phosphofructo-2-kinase	K00900
E2.7.11.1; non-specific serine/threonine protein kinase	K08282
E2.7.11.26; tau-protein kinase	K05960
E2.7.1.16; ribulokinase	K24707
E2.7.11.7; myosin-heavy-chain kinase	K08240
E2.7.1.185; mevalonate-3-kinase	K18689
E2.7.1.186; mevalonate-3-phosphate-5-kinase	K18690
E2.7.11.-; protein-serine/threonine kinase	K08286
E2.7.1.20, ADK; adenosine kinase	K00856
E2.7.1.212; alpha-D-ribose-1-phosphate 5-kinase (ADP)	K21056
E2.7.1.213; cytidine kinase	K21057
E2.7.12.1; dual-specificity kinase	K08287
E2.7.1.223; aminoimidazole riboside kinase	K23147
E2.7.1.224; cytidine diphosphoramidate kinase	K23148
E2.7.13.3; histidine kinase	K10819
E2.7.1.36, MVK, mvaK1; mevalonate kinase	K00869
E2.7.1.46; L-arabinokinase	K12446
E2.7.1.4, scrK; fructokinase	K00847
E2.7.1.76, dak; deoxyadenosine kinase	K10353
E2.7.1.-; kinase	K00924
E2.7.3.13; glutamine kinase	K22424
E2.7.3.2; creatine kinase	K00933
E2.7.3.3; arginine kinase	K00934
E2.7.4.2, mvaK2; phosphomevalonate kinase	K00938
E2.7.4.8, gmk; guanylate kinase	K00942
E2.7.6.5X; putative GTP pyrophosphokinase	K07816
E2.7.7.103; L-glutamine-phosphate cytidylyltransferase	K01009
E2.7.7.3A, coaD, kdtB; pantetheine-phosphate adenylyltransferase	K00954
E2.7.7.3B; pantetheine-phosphate adenylyltransferase	K02201
E2.7.7.41, CDS1, CDS2, cdsA; phosphatidate cytidylyltransferase	K00981
